Emotional Word,Number of all occurrences,Number of occurrences in Sentences,Number of occurrences in documents
كشف,52,52,48
كشفت,34,34,31
ضخمة,29,28,21
الكشف,28,28,24
تكشف,22,22,20
وكشف,20,20,20
تصديق,16,15,11
فجأة,15,15,13
صدمة,13,13,13
مفاجئ,13,13,12
يصدق,12,12,12
اكتشاف,11,11,10
وكشفت,11,11,11
عارمة,9,9,7
فوجئ,9,8,8
المفاجأة,9,8,6
هائل,9,9,9
مفاجأة,9,9,9
فاجأ,8,8,8
اكتشف,7,7,7
غريب,7,7,5
الخيال,7,7,5
بديع,7,6,6
التساؤل,7,7,7
الغريب,7,7,6
تساءل,6,6,6
خيال,6,6,5
إعجاب,6,6,5
الضخمة,6,6,5
المفاجئة,5,5,4
يتساءل,5,5,5
رائعة,5,5,5
الصدمة,5,5,4
الاستثنائية,4,4,4
دهشة,4,4,4
أربك,4,4,3
اكتشفت,4,4,3
استغرب,4,4,4
استثنائي,4,4,4
سأل,4,3,3
مباغتة,3,3,3
تتساءل,3,3,3
حيرة,3,3,3
ضخم,3,3,2
للدهشة,3,3,3
غبي,3,3,3
الإعجاب,3,3,3
عجيب,3,3,3
محرج,2,2,2
مذهل,2,2,2
غباء,2,2,2
وفجأة,2,2,2
صدم,2,2,2
هائلا,2,2,2
رهيب,2,2,1
ارتباك,2,2,2
عجب,2,2,2
مخيف,2,2,2
كشفها,2,2,2
حير,1,1,1
بكشف,1,1,1
صاعقة,1,1,1
غبية,1,1,1
الدهشة,1,1,1
الاسطورة,1,1,1
الشاسع,1,1,1
رائعون,1,1,1
لغز,1,1,1
العجائب,1,1,1
غرابة,1,1,1
أعجوبة,1,1,1
باغت,1,1,1
متفاجئ,1,1,1
مكاشفة,1,1,1
أدهش,1,1,1
روع,1,1,1
العجب,1,1,1
يترنح,1,1,1
الذهول,1,1,1
الغبي,1,1,1
فظيع,1,1,1
رائع,1,1,1
مرعوب,1,1,1
بعظمة,1,1,1
ذهول,1,1,1
للعجب,1,1,1
الغرابة,1,1,1
يكتشف,1,1,1
خلابة,1,1,1
صدمته,1,1,1
الغباء,1,1,1
تعجب,1,1,1
تكتشف,1,1,1
مرتبك,1,1,1
لطخ,0,0,0
صعق,0,0,0
بروعة,0,0,0
أماط,0,0,0
مرهوب,0,0,0
للاعجاب,0,0,0
فـجأه,0,0,0
مدهش,0,0,0
اتعجب,0,0,0
محتار,0,0,0
يدوخ,0,0,0
شوش,0,0,0
يباغت,0,0,0
اسطوري,0,0,0
تربك,0,0,0
دائخ,0,0,0
أسطوري,0,0,0
متحير,0,0,0
واستغربت,0,0,0
مربك,0,0,0
مذهول,0,0,0
اسطورة,0,0,0
انصدام,0,0,0
مرتبكة,0,0,0
وابرز,0,0,0
يربك,0,0,0
احتار,0,0,0
الاحراج,0,0,0
مرتبكون,0,0,0
اندهاش,0,0,0
تترنح,0,0,0
عواء,0,0,0
بعجب,0,0,0
مخذر,0,0,0
مخبول,0,0,0
متفاجئون,0,0,0
باندهاش,0,0,0
أحجية,0,0,0
يفاجئ,0,0,0
ترنح,0,0,0
مترنح,0,0,0
خفق,0,0,0
الرهبة,0,0,0
اتسائل,0,0,0
أرتبك,0,0,0
بطريقة_رائعة,0,0,0
افاجأ,0,0,0
مباغت,0,0,0
يتساءلون,0,0,0
فقدان_الصواب,0,0,0
ذهل,0,0,0
وهمي,0,0,0
يحتار,0,0,0
انصعق,0,0,0
مصعوق,0,0,0
المخيف,0,0,0
صاخب,0,0,0
الابداع,0,0,0
دهش,0,0,0
مبهور,0,0,0
بغتة,0,0,0
مشدوه,0,0,0
إرتباك,0,0,0
بدهشة,0,0,0
دوخ,0,0,0
داح,0,0,0
ولولة,0,0,0
خارق,0,0,0
تحير,0,0,0
وبخ,0,0,0
محير,0,0,0
رهبة,0,0,0
في_رهبة_من,0,0,0
روعة,0,0,0
من_الطراز_الاول,0,0,0
ابداع,0,0,0
مغفل,0,0,0
أتسائل,0,0,0
اظهرت,0,0,0
الغبية,0,0,0
خيالي,0,0,0
ألغز,0,0,0
ينبهرون,0,0,0
مصدوم,0,0,0
ينبهر,0,0,0
احراج,0,0,0
مندهش,0,0,0
ناح,0,0,0
اعجوبة,0,0,0
عجبا,0,0,0
الحيرة,0,0,0
مجلجل,0,0,0
ابراز,0,0,0
صاعق,0,0,0
تنبهر,0,0,0
خبل,0,0,0
عحيب,0,0,0
معجب,0,0,0
منصدم,0,0,0
الدوّيخة,0,0,0
فقد_صوابه,0,0,0
بجنون,0,0,0
حيران,0,0,0
متعجب,0,0,0
نباح,0,0,0
منبهر,0,0,0
,524,518,472
